compound,exp2_22deg_1,exp2_22deg_2,exp2_22deg_3,exp2_22deg_4,exp2_37deg_1,exp2_37deg_2,exp2_37deg_3,exp2_37deg_4,exp4_22deg_1,exp4_22deg_2,exp4_22deg_3,exp4_22deg_4,exp4_37deg_1,exp4_37deg_2,exp4_37deg_3,exp4_37deg_4,exp2_22deg_1_l,exp2_22deg_2_l,exp2_22deg_3_l,exp2_22deg_4_l,exp2_37deg_1_l,exp2_37deg_2_l,exp2_37deg_3_l,exp2_37deg_4_l,exp4_22deg_1_l,exp4_22deg_2_l,exp4_22deg_3_l,exp4_22deg_4_l,exp4_37deg_1_l,exp4_37deg_2_l,exp4_37deg_3_l,exp4_37deg_4_l
Cer_t18:0_28:0 ,0.1271167459757913,0.11094441205935784,0.11568001179630515,0.10915293065334221,0.1625498011516087,0.1653163291079203,0.16053675505153744,0.1155626987206427,2.541240970799847,2.18198327665476,2.98552562180704,2.4183179713161644,3.8983017611816493,4.871566249286666,6.7284799739969126,5.4194960446347,0.004945658957866914,0.008319297132640811,0.004770695037588716,0.008540347536405757,0.051253779315865874,0.045743682001554625,0.05561299783230112,0.05157120233831848,0.0,0.0,0.0,0.0,0.2611074937624074,0.4173810733910389,0.6950922327782284,0.19762307524086187
hCer_d18:1_h16:0,0.41108997123655655,0.4603807857548239,0.43326906073234606,0.39795824555829906,0.6652173519080613,0.7135519252364894,0.6671993357176272,0.6274858938315375,3.2772180305991276,2.707949193403101,3.6722050847321968,3.0553455636501976,4.472976468664007,4.534296458006277,3.8768562272634433,4.208344538918061,1.3164694310949985,0.9905556672517825,0.7753627752238135,0.793936892880615,1.2280159423402794,1.0645105613887176,1.030529554177215,1.0720559793974338,5.370382890518091,4.951754639755564,4.891879076900337,4.246145592675725,6.9339172193255525,10.203191633580868,10.788058118061196,7.144226714636116
hCer_d18:0_h16:0,0.23494160352720672,0.25095369806120765,0.21427229817211696,0.23422797209531063,1.1551084390103041,1.0020637143297666,0.8431299590759608,0.9097943560357842,2.104141181029695,2.146425747597332,1.9140689138238367,1.9524033304239456,4.630571579786278,4.56419319591098,4.666587774303308,3.9889823769300325,0.3706872489448755,0.38603989492884805,0.32867030255352087,0.3639579447081093,2.4799538957789826,2.030536552649001,2.0102704869744885,2.1959116703988406,2.177819403563323,2.362157124823071,1.8628815303967248,1.9302810106163109,14.413741607766585,16.05463582856994,17.090230080274292,13.514064214507718
hCer_t18:1_h16:0,4.2664694296341645,4.349841410420697,4.014958664409114,2.913164173157078,1.7576735528668594,1.92710746360087,1.9854605464168564,1.7169937084540925,10.454476473894802,10.493041215231207,12.07130862529032,10.352844718117058,9.39624989036088,9.569472707521923,7.949110423156768,9.490606258664373,0.259292740734863,0.281593041931943,0.282016549386926,0.23807650442983141,0.12218568485963784,0.10496142980997573,0.1091111240351245,0.13007944617428438,1.3329326453298243,1.1405088280360722,1.4386264292097306,1.1670440133595161,2.0865914192069077,2.6193669803967183,2.8404117094604806,1.947130351311477
hCer_t18:0_h16:0,0.5045234458861801,0.6231923880073199,0.4968710273109718,0.3595966827544926,0.22796588339409726,0.23173043218826064,0.24456460896782944,0.24267547377014034,0.8708671607414455,0.8252343311587937,0.984130249237675,0.6487580720862014,0.7195157509360585,0.6635547963930842,0.7329068623932976,0.7856680055330327,0.18713421771824795,0.23152607371677003,0.19603753769633858,0.1349505931476346,0.08002324849477284,0.06764001741594018,0.07719155563153393,0.07526851413113902,0.32825508304257806,0.34545010108820756,0.2437902335875143,0.13271486187371553,0.9511401722628604,0.8620807722844863,0.9239083307061446,0.8253496369647871
hCer_t18:1_h20:0 ,0.4852523397862554,0.5164201186702092,0.4995214353647446,0.32429691711965825,0.24244548022060874,0.25138866533812976,0.25622298464352583,0.20233467098414507,1.3606242849107435,1.2733976388156911,1.947634767934858,1.2690016250030105,0.9155393473307679,1.150652008338739,1.365867418933098,1.0237496659295238,0.0003298914490273307,0.0,0.0,0.0,0.009294131614125185,0.00615024109916842,0.007292162439519411,0.02087109190841799,0.0,0.01788509927176431,0.0,0.04016077534921994,0.07519518937060672,0.20891675455853584,0.4586510969518105,0.30037937687058514
hCer_t18:1_h22:0,4.6462201270526835,4.48234537939531,4.539529172749756,2.876496464072365,2.019980114231555,2.3122433519118775,2.1674779223743044,1.926777953995362,15.766329682386415,14.523695075281493,19.515290578228228,14.81541926525359,10.358541966469623,12.48656983075425,12.078384760601242,12.523164709514191,0.12093628090764424,0.1475081822019999,0.10748876138561904,0.1277768509746063,0.3945527351686347,0.33055882497831457,0.36695454463714505,0.36572150180227453,0.2994045296198055,0.11209160018391402,0.17969008599621353,0.6456587477174053,3.7475178107020133,6.537006423109365,8.112772186121687,5.014567486375927
hCer_t18:0_h22:0,0.6555143014726902,0.6642166726003297,0.5245254867636255,0.3567872798523047,0.3227910271211735,0.3313337963155738,0.32215037284348463,0.285271229203977,1.298959014632442,1.2261750058055552,1.6679866374363208,1.0490139158417844,1.2390637451083506,1.4079606532094127,1.3788448817674694,1.4263590506365396,0.1283965380419688,0.1594912665927878,0.2157982274403303,0.10048946292885035,0.03597967863198849,0.06606030709626373,0.0909253006012848,0.06702943522576772,0.09127199578113691,0.09347780621826343,0.10411394107384,0.10494843761431134,1.4777538566253758,1.6763072736761482,1.7874328929274028,1.5262868667890928
hCer_d18:1_h24:0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275836111323488,0.274269937764574,0.36414722856455245,0.3068297298264267,0.30404046302476245,0.24886860745366876,0.14552158957084393,0.3580635096140664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4744961053788637,2.2343428267277075,2.644369677389156,2.12295193022514,1.5565443055970978,1.935264593942813,1.50436563493517,2.153084606503609
hCer_t18:1_h23:0,0.43869685763314537,0.4232807908678683,0.3948063002104717,0.24605218486824487,0.14561244009621804,0.17310002823241397,0.17241788888791054,0.13333104553030295,1.1102735503769734,0.9406592862097696,1.311487106248081,0.897284160944782,0.6724827422328836,0.6584189302353494,0.45842315085285495,0.6392961467994818,0.033507873567629354,0.03470774687038834,0.01914099099998722,0.01898648208952593,0.01814011282428569,0.017790468038681246,0.012737258352264236,0.015565626351885348,0.0,0.014984980632853966,0.0,0.0,0.09432800759412942,0.21964877365747099,0.22982199523374885,0.09703933118055746
